x0,x1,x2,u
5.28835,5.28835,-3,0
5.28835,5.28835,-2.86501,0
5.28835,5.28835,-2.73002,0
5.28018,5.28812,-2.59502,0.283513
5.30282,5.28888,-2.46006,-0.679365
5.3409,5.28975,-2.325,-0.936044
5.37094,5.28979,-2.18993,-0.819703
5.40544,5.28949,-2.05483,-0.888298
5.43692,5.28855,-1.91996,-0.843082
5.46976,5.28714,-1.78529,-0.86402
5.50142,5.28516,-1.65103,-0.846003
5.53338,5.28266,-1.51724,-0.850539
5.56481,5.27961,-1.38409,-0.842438
5.5962,5.27602,-1.25166,-0.841544
5.62729,5.27189,-1.12011,-0.837018
5.65824,5.26722,-0.989573,-0.834571
5.68897,5.26201,-0.860198,-0.831207
5.71955,5.25626,-0.732134,-0.828527
5.74993,5.24998,-0.605548,-0.82548
5.78016,5.24316,-0.480605,-0.822907
5.81022,5.23582,-0.357483,-0.82011
5.84013,5.22795,-0.236365,-0.817569
5.86987,5.21957,-0.117445,-0.814902
5.89947,5.21068,-0.000921085,-0.812394
5.92892,5.20129,0.113,-0.809836
5.95822,5.19141,0.224105,-0.807347
5.99917,5.18129,0.334282,-0.970304
6.00551,5.16989,0.433661,-0.222473
6.0016,5.1581,0.529762,0.138556
6.00587,5.14638,0.627158,-0.151186
6.00257,5.13436,0.721838,0.117088
5.9941,5.12215,0.815015,0.293407
5.98351,5.10987,0.907837,0.361165
5.97228,5.09755,1.00082,0.380804
5.96082,5.08523,1.09411,0.387894
5.94571,5.07282,1.18699,0.49427
5.94596,5.06073,1.28383,-0.00890654
5.93981,5.04839,1.37832,0.215943
5.92902,5.03591,1.4715,0.367369
5.91663,5.02339,1.56453,0.416068
5.90386,5.01086,1.65785,0.427327
5.89095,4.99832,1.75153,0.43143
5.87794,4.98579,1.84559,0.434397
5.86484,4.97327,1.94003,0.43704
5.85165,4.96074,2.03485,0.439608
5.83838,4.94822,2.13004,0.442115
5.82503,4.93571,2.2256,0.444358
5.8116,4.92321,2.32153,0.446633
5.7945,4.91064,2.41703,0.547546
5.79316,4.89841,2.51682,0.0476967
5.78481,4.88594,2.61394,0.289248
5.77182,4.87335,2.70972,0.434065
5.75762,4.86074,2.8055,0.468502
5.74326,4.84815,2.90162,0.473488
5.72883,4.83557,2.99813,0.475078
5.71436,4.82301,3.09502,0.476345
5.69986,4.81046,3.19229,0.477451
5.68532,4.79793,3.28993,0.47835
5.67074,4.78543,3.38793,0.479233
5.65614,4.77294,3.48629,0.480034
5.6379,4.7604,3.58417,0.576878
5.63551,4.74821,3.68639,0.0850554
5.62579,4.73579,3.78579,0.333652
5.61152,4.72327,3.88386,0.470511
5.59636,4.71074,3.98197,0.495696
5.58113,4.69824,4.08041,0.497482
5.5659,4.68576,4.17918,0.497576
5.55068,4.67331,4.27828,0.497424
5.53546,4.66089,4.37769,0.497251
5.51663,4.64843,4.4766,0.591229
5.51445,4.63633,4.57992,0.0775413
5.50243,4.62396,4.67974,0.40498
5.47897,4.61138,4.77686,0.69673
5.44478,4.59871,4.8729,0.883862
5.43002,4.5866,4.97573,0.484591
5.38638,4.57398,5.07253,0.999662
5.38806,4.56255,5.18252,-0.06012
5.37316,4.55066,5.28732,0.488664
5.33966,4.53843,5.38838,0.873743
5.32057,4.52671,5.49477,0.597786
5.31072,4.51526,5.60368,0.337857
5.29236,4.50361,5.71043,0.57966
5.25473,4.49165,5.81383,0.930342
5.25461,4.48073,5.92731,0.00421673
5.23393,4.46927,6.03528,0.635513
5.21037,4.45786,6.14342,0.698854
5.20163,4.44688,6.25546,0.301965
5.17967,4.43561,6.36439,0.664318
5.17494,4.42481,6.47741,0.167343
5.15404,4.41361,6.58637,0.640518
5.13151,4.40248,6.69571,0.67678
5.12296,4.39178,6.80847,0.295793
5.10364,4.38083,6.91863,0.603457
5.09492,4.37019,7.03119,0.301355
5.07597,4.35932,7.14127,0.594216
5.06739,4.34876,7.25362,0.297148
5.04777,4.33795,7.36335,0.61042
5.04338,4.32756,7.47621,0.155264
5.02094,4.31671,7.58482,0.674845
5.01685,4.3064,7.6973,0.144994
4.99493,4.29563,7.80559,0.663432
4.99088,4.28537,7.91754,0.143424
4.96945,4.27467,8.0254,0.65257
4.96546,4.26447,8.13672,0.141354
4.9445,4.25383,8.24406,0.641887
4.94058,4.24368,8.35467,0.138869
4.92007,4.2331,8.46138,0.631457
4.91256,4.22292,8.57058,0.261525
4.91156,4.21285,8.68001,0.035726
4.89348,4.20229,8.78523,0.572803
4.88957,4.19214,8.89284,0.138318
4.86939,4.18156,8.99663,0.62375
4.86569,4.17145,9.10329,0.13141
4.84594,4.16091,9.20619,0.613508
4.84233,4.15084,9.31179,0.128262
4.82298,4.14035,9.41371,0.603901
4.81659,4.13024,9.51774,0.224132
4.81273,4.12015,9.62115,0.136885
4.79897,4.10977,9.72181,0.455924
4.79204,4.09957,9.8231,0.242288
4.77674,4.08915,9.92212,0.499707
4.76687,4.07891,10.0217,0.338327
4.76548,4.06885,10.1217,0.0494093
4.74821,4.05834,10.2179,0.552072
4.74398,4.0482,10.3158,0.149765
4.73077,4.03779,10.4111,0.440113
4.72133,4.02749,10.5065,0.324867
4.72018,4.01737,10.6021,0.0410406
4.70312,4.00679,10.694,0.546502
4.69992,3.99659,10.7876,0.11372
4.68145,3.98598,10.8776,0.582438
4.67544,3.97573,10.9691,0.210984
4.67221,3.96549,11.0599,0.114784
4.65918,3.95495,11.1479,0.434845
4.65279,3.94458,11.2362,0.224116
4.63811,3.93399,11.3221,0.482285
4.6287,3.92357,11.4082,0.323799
4.62784,3.91331,11.4945,0.0305091
4.61127,3.90261,11.5771,0.533862
4.60833,3.89227,11.661,0.10437
4.59031,3.88151,11.7415,0.571192
4.58451,3.87111,11.8231,0.203774
4.58163,3.86071,11.9039,0.10262
4.56897,3.85002,11.9819,0.423871
4.56287,3.83948,12.06,0.214386
4.54849,3.82872,12.1357,0.473647
4.53931,3.81812,12.2114,0.316554
4.53873,3.80768,12.287,0.0206373
4.52248,3.79679,12.3591,0.525176
4.51973,3.78625,12.4322,0.0977331
4.50196,3.7753,12.5019,0.564728
4.4963,3.76469,12.5725,0.199293
4.49457,3.7541,12.6422,0.0617837
4.47682,3.74307,12.7085,0.564341
4.4741,3.73244,12.7759,0.0966989
4.45648,3.7214,12.8401,0.560968
4.45089,3.71069,12.9049,0.19657
4.44838,3.69999,12.9687,0.0892726
4.43611,3.68899,13.0299,0.412671
4.43029,3.67813,13.0907,0.204489
4.41619,3.66705,13.1494,0.46594
4.40719,3.65611,13.2076,0.310445
4.40688,3.64532,13.2655,0.0109963
4.39091,3.6341,13.3202,0.51787
4.38533,3.62314,13.375,0.196381
4.38279,3.61218,13.4287,0.0902166
4.3703,3.60092,13.4799,0.419138
4.36438,3.58982,13.5306,0.208118
4.34999,3.57848,13.5792,0.473923
4.34165,3.5673,13.6273,0.289154
4.33773,3.55617,13.6745,0.139082
4.32446,3.54478,13.7194,0.441785
4.31844,3.53356,13.7639,0.211515
4.30404,3.52211,13.8062,0.474326
4.29489,3.51079,13.848,0.315658
4.29451,3.49963,13.8891,0.0133693
4.27823,3.48804,13.9274,0.525964
4.27554,3.47676,13.9657,0.0958017
4.25755,3.46509,14.0014,0.570425
4.25177,3.45373,14.0369,0.203211
4.24916,3.44237,14.0712,0.0926815
4.23648,3.43071,14.1035,0.424635
4.23143,3.41922,14.1349,0.178328
4.21082,3.40736,14.1641,0.63373
4.20502,3.39588,14.1931,0.20416
