x0,x1,x2,u
5.28835,5.28835,-3,0
5.28835,5.28835,-2.86501,0
5.28835,5.28835,-2.73002,0
5.2883,5.28835,-2.59502,0.00186421
5.28819,5.28834,-2.46003,0.00374398
5.28803,5.28834,-2.32504,0.00563951
5.28782,5.28834,-2.19004,0.00755111
5.28755,5.28834,-2.05505,0.00947896
5.28723,5.28834,-1.92006,0.0114233
5.28686,5.28835,-1.78507,0.0133843
5.28643,5.28836,-1.65007,0.0153623
5.28594,5.28838,-1.51508,0.0173574
5.2854,5.2884,-1.38009,0.0193697
5.2848,5.28843,-1.24511,0.0213996
5.28414,5.28847,-1.11012,0.023447
5.28342,5.28852,-0.97514,0.0255122
5.28265,5.28858,-0.840164,0.0275953
5.28182,5.28865,-0.705193,0.0296963
5.28093,5.28873,-0.570228,0.0318154
5.27997,5.28883,-0.435272,0.0339525
5.27896,5.28894,-0.300324,0.0361077
5.27789,5.28907,-0.165388,0.038281
5.27675,5.28921,-0.0304639,0.0404723
5.27555,5.28937,0.104446,0.0426815
5.27429,5.28955,0.23934,0.0449087
5.27297,5.28976,0.374216,0.0471536
5.27162,5.28998,0.509071,0.0481171
5.27027,5.29024,0.643903,0.0482227
5.26889,5.29051,0.77871,0.048866
5.26752,5.29081,0.913488,0.0488374
5.26616,5.29114,1.04823,0.0485863
5.26481,5.2915,1.18295,0.048272
5.26346,5.29188,1.31762,0.0479379
5.26213,5.29229,1.45226,0.0475934
5.2608,5.29273,1.58685,0.0472406
5.25946,5.2932,1.7214,0.0476899
5.25813,5.29369,1.8559,0.0475226
5.2568,5.29422,1.99035,0.0471563
5.25549,5.29477,2.12474,0.0467416
5.25419,5.29535,2.25908,0.0463133
5.2529,5.29597,2.39335,0.0458779
5.25163,5.29661,2.52756,0.0454364
5.25037,5.29729,2.6617,0.0449892
5.24912,5.29799,2.79577,0.0445367
5.24788,5.29873,2.92977,0.044079
5.24666,5.29949,3.06369,0.0436165
5.24545,5.30029,3.19752,0.0431493
5.24425,5.30113,3.33127,0.0426776
5.24304,5.30199,3.46493,0.0429925
5.24184,5.30289,3.5985,0.0426932
5.24066,5.30382,3.73197,0.0422071
5.23949,5.30478,3.86534,0.0416859
5.23834,5.30578,3.99861,0.0411577
5.2372,5.30681,4.13177,0.0406264
5.23607,5.30788,4.26482,0.0400928
5.23496,5.30898,4.39775,0.0395571
5.23387,5.31011,4.53056,0.0390197
5.23279,5.31129,4.66324,0.0384807
5.23172,5.31249,4.7958,0.0379405
5.23067,5.31374,4.92823,0.0373992
5.22962,5.31502,5.06051,0.0376245
5.22857,5.31634,5.19266,0.0372459
5.22754,5.31769,5.32465,0.0366938
5.22653,5.31909,5.4565,0.036116
5.22553,5.32052,5.58819,0.035536
5.22455,5.32199,5.71972,0.0349566
5.22359,5.3235,5.85108,0.0343781
5.22264,5.32504,5.98228,0.033801
5.22171,5.32663,6.1133,0.0332254
5.22077,5.32826,6.24413,0.0333997
5.21985,5.32993,6.37479,0.0327447
5.21897,5.33164,6.50525,0.031587
5.21812,5.33339,6.63551,0.030146
5.2173,5.33518,6.76557,0.0291529
5.21652,5.33702,6.89543,0.0277575
5.21575,5.33889,7.02507,0.0276275
5.215,5.34081,7.15449,0.0267084
5.21429,5.34278,7.28369,0.0253609
5.2136,5.34478,7.41267,0.0244364
5.21293,5.34683,7.5414,0.0240765
5.21228,5.34892,7.6699,0.0231701
5.21166,5.35105,7.79815,0.0219196
5.21105,5.35323,7.92615,0.0218291
5.21047,5.35545,8.0539,0.0207748
5.20991,5.35771,8.18137,0.0198919
5.20936,5.36002,8.30858,0.0195943
5.20883,5.36238,8.43551,0.0188045
5.20831,5.36478,8.56216,0.0187248
5.20781,5.36723,8.68852,0.0177453
5.20734,5.36972,8.81459,0.0169153
5.20687,5.37226,8.94035,0.0166588
5.20642,5.37485,9.0658,0.0159395
5.20598,5.37748,9.19093,0.0157003
5.20556,5.38017,9.31575,0.0150027
5.20515,5.3829,9.44023,0.0147774
5.20475,5.38568,9.56437,0.0140999
5.20436,5.38851,9.68816,0.0140882
5.20399,5.39139,9.81161,0.0132358
5.20361,5.39433,9.93469,0.0132274
5.20327,5.39731,10.0574,0.0123929
5.20292,5.40035,10.1797,0.0123963
5.20259,5.40343,10.3017,0.0115825
5.20227,5.40658,10.4232,0.0115977
5.20197,5.40977,10.5444,0.010804
5.20166,5.41302,10.6651,0.0108309
5.20138,5.41633,10.7854,0.0100565
5.2011,5.41969,10.9053,0.0100951
5.20081,5.4231,11.0248,0.0102732
5.20054,5.42658,11.1438,0.00955561
5.20027,5.43011,11.2623,0.0095973
5.20003,5.4337,11.3804,0.00883724
5.19978,5.43735,11.498,0.00888738
5.19955,5.44106,11.6151,0.00814434
5.19932,5.44483,11.7317,0.00820596
5.19911,5.44867,11.8478,0.00748048
5.1989,5.45256,11.9634,0.00755354
5.19868,5.45652,12.0785,0.00758041
5.19848,5.46054,12.193,0.00708455
5.19829,5.46462,12.3069,0.00698477
5.19811,5.46878,12.4203,0.00645712
5.19793,5.47299,12.5331,0.00636325
5.19774,5.47728,12.6454,0.00654891
5.19758,5.48163,12.757,0.00588167
5.19741,5.48605,12.868,0.0059747
5.19726,5.49054,12.9784,0.00551782
5.19711,5.49511,13.0882,0.00544273
5.19695,5.49974,13.1973,0.00564054
5.19681,5.50444,13.3057,0.00498129
5.19666,5.50922,13.4135,0.00508377
5.19654,5.51407,13.5205,0.00439708
5.19641,5.519,13.6269,0.00450769
5.19629,5.52401,13.7325,0.0045751
5.19617,5.52909,13.8374,0.00411512
5.19606,5.53424,13.9416,0.00405354
5.19596,5.53948,14.045,0.00355998
5.19586,5.5448,14.1476,0.00350364
5.19576,5.55019,14.2494,0.00372797
5.19567,5.55567,14.3504,0.00309511
5.19558,5.56123,14.4506,0.00322457
5.19551,5.56688,14.5499,0.00256394
5.19543,5.57261,14.6484,0.00270132
5.19535,5.57842,14.746,0.00279718
5.19529,5.58432,14.8428,0.00236243
5.19522,5.59031,14.9386,0.00232808
5.19517,5.59639,15.0335,0.00185886
5.19512,5.60256,15.1274,0.00182943
5.19506,5.60881,15.2204,0.0020814
5.19502,5.61516,15.3125,0.00147297
5.19497,5.6216,15.4035,0.00162896
5.19494,5.62814,15.4935,0.000992011
5.19491,5.63476,15.5825,0.00115589
5.19488,5.64149,15.6705,0.00127906
5.19486,5.64831,15.7574,0.000629843
5.19484,5.65523,15.8432,0.000799188
5.19483,5.66224,15.9279,0.000179176
5.19482,5.66936,16.0115,0.000360466
5.19481,5.67658,16.094,0.000502378
5.1948,5.68389,16.1753,0.000109165
5.1948,5.69131,16.2555,0.000119368
5.19481,5.69884,16.3344,-0.000309349
5.19482,5.70646,16.4122,-0.000294396
5.19482,5.7142,16.4887,2.83846e-06
5.19483,5.72204,16.564,-0.000564932
5.19484,5.72998,16.638,-0.000364831
5.19485,5.73804,16.7108,-0.000208085
5.19486,5.7462,16.7822,-0.000593288
5.19488,5.75447,16.8523,-0.00056874
5.19491,5.76286,16.9211,-0.000989078
5.19493,5.77135,16.9886,-0.000959175
5.19496,5.77996,17.0547,-0.000838905
5.19499,5.78868,17.1194,-0.00122482
5.19503,5.79752,17.1827,-0.00118413
5.19507,5.80647,17.2446,-0.00158667
5.19511,5.81553,17.3051,-0.00153797
5.19515,5.82472,17.3641,-0.00120668
5.1952,5.83402,17.4217,-0.00174799
5.19524,5.84343,17.4778,-0.00151272
5.1953,5.85297,17.5324,-0.00208279
5.19535,5.86262,17.5856,-0.00183893
