x0,x1,x2,u
5.28835,5.28835,-3,0
5.28835,5.28835,-2.86501,0
5.28835,5.28835,-2.73002,0
5.28019,5.28812,-2.59502,0.283211
5.30287,5.28889,-2.46006,-0.680127
5.34099,5.28975,-2.325,-0.936525
5.37099,5.28979,-2.18993,-0.819238
5.40543,5.28949,-2.05483,-0.887437
5.43679,5.28855,-1.91996,-0.841095
5.46938,5.28713,-1.7853,-0.860402
5.50073,5.28515,-1.65105,-0.84093
5.53219,5.28264,-1.51727,-0.842861
5.56301,5.27959,-1.38412,-0.832496
5.59356,5.27601,-1.25169,-0.828228
5.62363,5.27189,-1.12013,-0.82033
5.6533,5.26724,-0.989553,-0.813591
5.6825,5.26207,-0.8601,-0.805581
5.71123,5.25637,-0.731904,-0.797444
5.73944,5.25015,-0.605106,-0.788383
5.76711,5.24342,-0.479845,-0.778773
5.7942,5.23619,-0.356264,-0.768247
5.82069,5.22847,-0.234506,-0.756882
5.84652,5.22026,-0.114713,-0.74442
5.87166,5.21159,0.00297252,-0.730741
5.89604,5.20245,0.118414,-0.715806
5.91963,5.19287,0.231475,-0.699328
5.94559,5.18293,0.342581,-0.746835
5.95287,5.17217,0.447608,-0.253942
5.94964,5.16099,0.549492,0.114657
5.95061,5.14981,0.651892,-0.0346066
5.94567,5.13837,0.752461,0.174281
5.93679,5.12679,0.852115,0.306866
5.92633,5.11514,0.951693,0.356868
5.91539,5.10348,1.05155,0.371986
5.90426,5.0918,1.15178,0.377876
5.89157,5.08009,1.25212,0.425076
5.88876,5.06858,1.35497,0.0998595
5.88124,5.05688,1.45638,0.261763
5.87041,5.04508,1.55708,0.368664
5.85845,5.03324,1.65786,0.403295
5.84619,5.0214,1.75901,0.412109
5.83381,5.00957,1.86057,0.415538
5.82136,4.99773,1.96255,0.417985
5.80883,4.98591,2.06496,0.4202
5.79623,4.97408,2.16777,0.422292
5.78356,4.96227,2.271,0.424362
5.77083,4.95046,2.37463,0.426219
5.75803,4.93866,2.47867,0.428078
5.74371,4.92684,2.58279,0.472241
5.73946,4.91525,2.68957,0.150416
5.73013,4.90348,2.7947,0.321307
5.71753,4.89162,2.8991,0.422079
5.70409,4.87975,3.00364,0.447014
5.6905,4.86789,3.10856,0.451373
5.67686,4.85605,3.21388,0.452738
5.66318,4.84423,3.31959,0.453742
5.64948,4.83243,3.42569,0.454613
5.63575,4.82065,3.53218,0.455307
5.62199,4.80888,3.63903,0.456026
5.60822,4.79714,3.74625,0.456641
5.59285,4.78539,3.85349,0.501164
5.5878,4.77388,3.96341,0.178287
5.57741,4.7622,4.07154,0.354704
5.56384,4.75044,4.17891,0.450838
5.54959,4.73868,4.28642,0.470126
5.53527,4.72695,4.39425,0.472077
5.52095,4.71525,4.50241,0.472213
5.50664,4.70358,4.6109,0.47203
5.49232,4.69193,4.71969,0.471868
5.47637,4.68028,4.82845,0.517186
5.47132,4.6689,4.93994,0.178381
5.45873,4.65729,5.04907,0.42182
5.43798,4.64554,5.15656,0.637201
5.41034,4.63374,5.26362,0.77817
5.39412,4.62234,5.37479,0.524461
5.36278,4.61069,5.48337,0.840886
5.35784,4.5998,5.59933,0.174046
5.34226,4.58862,5.71239,0.50716
5.31516,4.57725,5.82353,0.768479
5.29638,4.56623,5.9379,0.589941
5.28601,4.55547,6.05457,0.354323
5.26902,4.54458,6.16973,0.544782
5.23981,4.53349,6.28304,0.805745
5.23525,4.52314,6.4027,0.161244
5.21593,4.5124,6.51877,0.603141
5.19542,4.50174,6.63529,0.631551
5.18581,4.49143,6.75458,0.330098
5.16681,4.48091,6.87182,0.595581
5.16049,4.47077,6.99193,0.221585
5.14164,4.46031,7.10911,0.591929
5.12168,4.44992,7.22665,0.618605
5.11242,4.43988,7.34671,0.319049
5.09515,4.42966,7.46497,0.551862
5.08594,4.4197,7.58497,0.317412
5.06898,4.40956,7.70322,0.543919
5.05991,4.39968,7.82311,0.312792
5.04255,4.38961,7.94114,0.554271
5.03688,4.37989,8.06144,0.199601
5.01728,4.3698,8.17863,0.609996
5.01172,4.36015,8.29864,0.195866
4.99242,4.35013,8.41558,0.602865
4.98695,4.34055,8.53521,0.192432
4.968,4.33061,8.65183,0.594405
4.96263,4.32108,8.77102,0.188957
4.94402,4.31121,8.88724,0.58605
4.93876,4.30175,9.0059,0.185283
4.92048,4.29194,9.12164,0.577835
4.91266,4.28247,9.23928,0.271858
4.91017,4.27311,9.3571,0.0886561
4.89388,4.26334,9.47166,0.526311
4.88875,4.25391,9.58799,0.18095
4.87071,4.24413,9.70143,0.571492
4.86567,4.23476,9.81701,0.178023
4.84791,4.22503,9.92974,0.56445
4.84298,4.2157,10.0445,0.174139
4.82553,4.20603,10.1565,0.556729
4.81858,4.1967,10.2701,0.242794
4.81374,4.18739,10.3832,0.170827
4.80079,4.17783,10.4941,0.432707
4.79329,4.16845,10.6055,0.261223
4.77903,4.15888,10.7151,0.470459
4.76936,4.14948,10.8252,0.332102
4.76654,4.14024,10.9356,0.100309
4.75078,4.13062,11.043,0.51215
4.74547,4.12132,11.1516,0.187143
4.73288,4.11179,11.2583,0.421885
4.72358,4.10239,11.365,0.32027
4.72093,4.09314,11.4719,0.0943506
4.70531,4.0835,11.5759,0.508195
4.70075,4.0742,11.681,0.161118
4.68392,4.06455,11.7835,0.540487
4.67726,4.05523,11.8871,0.233084
4.67287,4.04592,11.9901,0.155297
4.66043,4.03637,12.0908,0.417751
4.65331,4.02698,12.1918,0.248473
4.63948,4.0174,12.2909,0.458141
4.63014,4.00798,12.3902,0.321764
4.62767,3.99872,12.4895,0.0875369
4.6124,3.98908,12.586,0.498824
4.60804,3.97976,12.6834,0.154305
4.59153,3.9701,12.7781,0.531943
4.58504,3.96075,12.8737,0.227644
4.5809,3.95143,12.9686,0.146465
4.56873,3.94185,13.0613,0.40944
4.56183,3.93243,13.154,0.241367
4.54823,3.92282,13.2449,0.451589
4.53905,3.91336,13.3357,0.316221
4.53679,3.90406,13.4264,0.080529
4.52177,3.89437,13.5143,0.491788
4.51754,3.88501,13.6029,0.14948
4.50125,3.8753,13.6888,0.526471
4.49485,3.8659,13.7755,0.224182
4.49157,3.85653,13.8613,0.11644
4.47533,3.84679,13.9445,0.524943
4.47109,3.83741,14.0284,0.150208
4.4549,3.82768,14.1097,0.523479
4.44859,3.81827,14.1916,0.221448
4.44476,3.80887,14.2726,0.135617
4.43293,3.79922,14.3515,0.399426
4.42628,3.78972,14.4301,0.232846
4.41293,3.78003,14.5069,0.444111
4.40395,3.77048,14.5833,0.310136
4.40191,3.76108,14.6594,0.0723085
4.38718,3.75131,14.7328,0.483781
4.38094,3.74178,14.8064,0.219098
4.3771,3.73228,14.879,0.136058
4.36513,3.72251,14.9494,0.403351
4.3584,3.71289,15.0195,0.235473
4.34489,3.70308,15.0878,0.449047
4.33637,3.69344,15.1556,0.294879
4.33139,3.68385,15.2227,0.175773
4.31884,3.67404,15.2878,0.420786
4.31206,3.6644,15.3525,0.237257
4.29859,3.65456,15.4154,0.447756
4.28956,3.64488,15.4778,0.311748
4.28753,3.63534,15.5397,0.0722653
4.27272,3.62542,15.5991,0.485956
4.26862,3.6158,15.6585,0.145004
4.25242,3.60584,15.7156,0.523925
4.24605,3.59618,15.7726,0.223239
4.24227,3.58654,15.8286,0.134109
4.23035,3.57664,15.8826,0.401913
4.22441,3.56691,15.936,0.208905
4.20631,3.55685,15.9872,0.573147
4.19986,3.54715,16.0385,0.226066
4.1961,3.53747,16.0887,0.133346
