psi_1,psi_2,y2
5.28835,5.28835,-3
5.28835,5.28835,-2.86501
5.31639,5.28893,-2.72997
5.34443,5.28907,-2.59487
5.37247,5.28877,-2.45979
5.40052,5.28802,-2.32479
5.42856,5.28681,-2.18995
5.4566,5.28514,-2.05535
5.48464,5.28299,-1.92107
5.51268,5.28037,-1.78721
5.54072,5.27727,-1.65386
5.56877,5.27369,-1.52114
5.59681,5.26961,-1.38915
5.62485,5.26504,-1.25802
5.65289,5.25998,-1.12787
5.68093,5.25443,-0.998841
5.70897,5.24837,-0.871083
5.73702,5.24182,-0.744747
5.76506,5.23476,-0.619997
5.7931,5.22722,-0.497006
5.82114,5.21918,-0.375955
5.84918,5.21065,-0.257035
5.87723,5.20163,-0.140444
5.90527,5.19214,-0.0263905
5.93331,5.18218,0.0849107
5.94186,5.17147,0.190673
5.93741,5.16034,0.293359
5.94098,5.14926,0.39698
5.93438,5.13786,0.498232
5.9244,5.12637,0.599036
5.91347,5.11484,0.700055
5.90223,5.1033,0.801465
5.89084,5.09175,0.903303
5.87931,5.08021,1.00558
5.87982,5.06883,1.11
5.871,5.0572,1.21222
5.85918,5.04549,1.31412
5.84663,5.03377,1.41635
5.83388,5.02205,1.51904
5.82103,5.01035,1.62222
5.80808,4.99865,1.72589
5.79507,4.98697,1.83005
5.78197,4.97531,1.93469
5.76881,4.96365,2.03982
5.75557,4.95202,2.14543
5.74228,4.94039,2.25152
5.72893,4.92879,2.35808
5.72738,4.91737,2.46685
5.71656,4.90572,2.57336
5.70292,4.89401,2.6796
5.68876,4.88232,2.78621
5.67451,4.87066,2.89332
5.66023,4.85902,3.00093
5.64593,4.8474,3.10903
5.6316,4.83582,3.21761
5.61727,4.82427,3.32667
5.60292,4.81275,3.4362
5.58857,4.80125,3.54619
5.57421,4.78979,3.65662
5.57137,4.77853,3.7692
5.55941,4.76705,3.87952
5.54485,4.75553,3.98958
5.52991,4.74404,4.09999
5.51496,4.73258,4.21085
5.50003,4.72117,4.32215
5.48513,4.70979,4.43388
5.47027,4.69845,4.54601
5.45544,4.68716,4.65855
5.45189,4.67607,4.7731
5.43584,4.66471,4.88491
5.41226,4.65328,4.99612
5.3845,4.64193,5.10808
5.36357,4.63087,5.22278
5.33665,4.61983,5.33767
5.32883,4.60927,5.45681
5.30914,4.59849,5.5739
5.28306,4.58771,5.69097
5.26344,4.57722,5.81038
5.25234,4.56697,5.93171
5.23303,4.55661,6.05187
5.20861,4.54626,6.17213
