psi_1,psi_2,y2,psi_1d,psi_2d,y2d,action
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-1.9711914879075796e-18,-0.0,-0.0,-2.4639893598844746e-16,0.0
0.0,0.0,-3.942382975815159e-18,3.3721647357399476e-31,9.595052721395063e-33,-2.4639893598844746e-16,-9.620390448880369e-31
0.0,0.0,-5.913574463722738e-18,-1.6857456095090537e-17,-4.796568158924897e-19,-2.4639893598844746e-16,4.809234492336963e-17
0.0,0.0,-7.884765951630318e-18,-1.68574560950902e-17,-4.796568158924802e-19,-2.4639893598844746e-16,4.809234492336867e-17
0.0,0.0,-9.855957439537898e-18,-1.6857456095089865e-17,-4.796568158924706e-19,-2.4639893598844746e-16,4.8092344923367715e-17
0.0,0.0,-1.1827148927445478e-17,-3.3714912190180747e-17,-9.593136317849702e-19,-2.4639893598844746e-16,9.618468984673833e-17
0.0,0.0,-1.3798340415353058e-17,-3.371491219018041e-17,-9.593136317849605e-19,-2.4639893598844746e-16,9.618468984673735e-17
0.0,0.0,-1.5769531903260636e-17,-3.3714912190180075e-17,-9.593136317849511e-19,-2.4639893598844746e-16,9.61846898467364e-17
0.0,0.0,-1.774072339116822e-17,-5.057236828526975e-17,-1.4389704476774165e-18,-2.4639893598844746e-16,1.442770347701036e-16
0.0,0.0,-1.97119148790758e-17,-5.057236828526942e-17,-1.4389704476774068e-18,-2.4639893598844746e-16,1.4427703477010263e-16
0.0,0.0,-2.168310636698338e-17,-5.0572368285269086e-17,-1.4389704476773974e-18,-2.4639893598844746e-16,1.442770347701017e-16
0.0,0.0,-2.365429785489096e-17,-6.742982438035996e-17,-1.918627263569897e-18,-2.4639893598844746e-16,1.923693796934723e-16
0.0,0.0,-2.562548934279854e-17,-6.742982438035963e-17,-1.9186272635698876e-18,-2.4639893598844746e-16,1.9236937969347133e-16
0.0,0.0,-2.759668083070612e-17,-6.742982438035929e-17,-1.9186272635698776e-18,-2.4639893598844746e-16,1.9236937969347037e-16
0.0,0.0,-2.95678723186137e-17,-8.428728047545017e-17,-2.398284079462377e-18,-2.4639893598844746e-16,2.40461724616841e-16
