x0,x1,x2,u
0.2,0.2,-5,0
0.2,0.2,-5.03219,0
0.200374,0.200011,-5.06438,-0.0133328
0.200925,0.200021,-5.09658,-0.0196498
0.201577,0.200025,-5.12877,-0.0232619
0.202299,0.200021,-5.16097,-0.0257564
0.203077,0.200007,-5.19316,-0.0277416
0.203902,0.199982,-5.22536,-0.0294229
0.204769,0.199945,-5.25755,-0.030886
0.205671,0.199894,-5.28973,-0.0321783
0.206605,0.19983,-5.32191,-0.0333165
0.207567,0.19975,-5.35407,-0.0342995
0.208552,0.199655,-5.38622,-0.0351446
0.209558,0.199543,-5.41836,-0.0358536
0.21058,0.199414,-5.45048,-0.0364354
0.211614,0.199267,-5.48257,-0.0368953
0.212659,0.199101,-5.51465,-0.0372437
0.213709,0.198917,-5.5467,-0.0374682
0.214763,0.198714,-5.57871,-0.0375937
0.215818,0.19849,-5.6107,-0.0376117
0.216871,0.198246,-5.64265,-0.037541
0.217919,0.197982,-5.67456,-0.0373688
0.21896,0.197697,-5.70642,-0.0371214
0.219991,0.19739,-5.73825,-0.0367809
0.221011,0.197062,-5.77002,-0.0363637
0.222017,0.196713,-5.80174,-0.0358737
0.223007,0.196341,-5.8334,-0.0353153
0.22398,0.195948,-5.865,-0.0346876
0.224933,0.195532,-5.89654,-0.033993
0.225865,0.195095,-5.92802,-0.0332461
0.226775,0.194635,-5.95942,-0.0324409
0.227661,0.194152,-5.99075,-0.03158
0.228521,0.193647,-6.022,-0.0306752
0.229354,0.19312,-6.05317,-0.0297238
0.23016,0.192571,-6.08425,-0.0287313
0.230936,0.192,-6.11525,-0.0276925
0.231683,0.191406,-6.14615,-0.026631
0.232399,0.19079,-6.17696,-0.0255222
0.233083,0.190152,-6.20767,-0.0243893
0.233734,0.189493,-6.23828,-0.0232245
0.234352,0.188812,-6.26878,-0.0220338
0.234936,0.188109,-6.29917,-0.0208212
0.235485,0.187385,-6.32945,-0.0195902
0.235999,0.18664,-6.35961,-0.0183341
0.236478,0.185875,-6.38965,-0.0170663
0.23692,0.185088,-6.41957,-0.0157805
0.237326,0.184281,-6.44936,-0.0144808
0.237696,0.183454,-6.47902,-0.0131713
0.238028,0.182607,-6.50855,-0.0118518
0.238323,0.18174,-6.53794,-0.0105276
0.238581,0.180853,-6.5672,-0.00919703
0.238802,0.179948,-6.59631,-0.00786121
0.238985,0.179024,-6.62527,-0.00652033
0.23913,0.178081,-6.65409,-0.00518412
0.239238,0.17712,-6.68275,-0.0038436
0.239308,0.176141,-6.71126,-0.00250382
0.239341,0.175144,-6.73961,-0.0011717
0.239336,0.17413,-6.7678,0.000162743
0.239294,0.173099,-6.79583,0.00149143
0.239216,0.172052,-6.82369,0.00281182
0.2391,0.170988,-6.85139,0.00412584
0.238947,0.169908,-6.87891,0.0054336
0.238759,0.168812,-6.90626,0.00672871
0.238534,0.167701,-6.93343,0.00801438
0.238274,0.166575,-6.96042,0.00928828
0.237978,0.165434,-6.98723,0.0105526
0.237647,0.164279,-7.01386,0.0118071
0.237281,0.16311,-7.0403,0.013053
0.23688,0.161927,-7.06656,0.0142765
0.236446,0.160731,-7.09262,0.0154893
0.235978,0.159522,-7.11849,0.0166867
0.235477,0.1583,-7.14417,0.0178724
0.234943,0.157066,-7.16965,0.0190395
0.234377,0.15582,-7.19493,0.0201891
0.233779,0.154562,-7.22001,0.0213287
0.233149,0.153294,-7.24489,0.022445
0.232489,0.152014,-7.26956,0.0235448
0.231798,0.150723,-7.29403,0.0246297
0.231078,0.149422,-7.31829,0.0256981
0.230328,0.148111,-7.34234,0.0267451
0.229549,0.146791,-7.36618,0.0277788
0.228742,0.145461,-7.38981,0.0287883
0.227906,0.144122,-7.41322,0.0297802
0.227044,0.142774,-7.43642,0.0307593
0.226155,0.141418,-7.4594,0.0317117
0.225239,0.140053,-7.48217,0.0326548
0.224298,0.138681,-7.50471,0.0335673
0.223331,0.137302,-7.52703,0.0344675
0.22234,0.135915,-7.54913,0.0353444
0.221325,0.134521,-7.57101,0.0362081
0.220285,0.133121,-7.59266,0.0370577
0.219224,0.131714,-7.61409,0.0378679
0.218139,0.130301,-7.63529,0.0386818
0.217032,0.128882,-7.65626,0.0394556
0.215904,0.127458,-7.67701,0.0402296
0.214755,0.126029,-7.69752,0.040984
0.213586,0.124594,-7.71781,0.041706
0.212396,0.123155,-7.73786,0.0424138
0.211187,0.121711,-7.75769,0.043107
0.20996,0.120263,-7.77728,0.0437821
0.208714,0.118811,-7.79663,0.0444358
0.20745,0.117355,-7.81576,0.045073
0.206169,0.115896,-7.83465,0.0456861
0.20487,0.114433,-7.8533,0.0462929
0.203556,0.112968,-7.87172,0.0468764
0.202226,0.111499,-7.8899,0.0474388
0.20088,0.110028,-7.90785,0.0479905
0.199519,0.108554,-7.92556,0.0485268
0.198144,0.107079,-7.94303,0.0490386
0.196755,0.105601,-7.96027,0.049538
0.195352,0.104122,-7.97727,0.0500175
0.193937,0.102641,-7.99403,0.0504792
0.192508,0.101158,-8.01055,0.050936
0.191068,0.0996744,-8.02683,0.0513694
0.189616,0.0981897,-8.04287,0.0517823
0.188152,0.0967042,-8.05868,0.0521873
0.186678,0.0952181,-8.07424,0.0525741
0.185194,0.0937314,-8.08957,0.0529396
0.183699,0.0922444,-8.10466,0.053299
0.182195,0.0907573,-8.1195,0.0536469
0.180681,0.0892702,-8.13411,0.0539779
0.179159,0.0877832,-8.14848,0.0542859
0.177628,0.0862966,-8.16261,0.0545922
0.176089,0.0848105,-8.1765,0.0548794
0.174542,0.0833249,-8.19015,0.0551612
0.172988,0.0818401,-8.20356,0.0554193
0.171427,0.0803562,-8.21674,0.0556726
0.169859,0.0788733,-8.22967,0.0559067
0.168285,0.0773916,-8.24237,0.0561332
0.166705,0.0759112,-8.25482,0.0563413
0.16512,0.0744322,-8.26704,0.0565466
0.163529,0.0729547,-8.27902,0.0567357
0.161933,0.0714789,-8.29076,0.056913
0.160332,0.0700049,-8.30227,0.0570746
0.158727,0.0685327,-8.31354,0.0572367
0.157118,0.0670625,-8.32457,0.0573817
0.155505,0.0655943,-8.33536,0.0575233
0.153889,0.0641284,-8.34592,0.0576384
0.152269,0.0626647,-8.35624,0.0577526
0.150647,0.0612035,-8.36633,0.0578627
0.149021,0.0597447,-8.37618,0.0579614
0.147393,0.0582884,-8.3858,0.0580508
0.145764,0.0568348,-8.39518,0.0581215
0.144132,0.055384,-8.40433,0.0581936
0.142498,0.0539359,-8.41324,0.0582549
0.140863,0.0524907,-8.42193,0.0583054
0.139227,0.0510485,-8.43037,0.0583645
0.137589,0.0496094,-8.43859,0.0583917
0.135951,0.0481733,-8.44658,0.0584285
0.134312,0.0467404,-8.45433,0.0584401
0.132673,0.0453108,-8.46185,0.05846
0.131033,0.0438844,-8.46915,0.0584684
0.129393,0.0424615,-8.47621,0.0584721
0.127754,0.0410419,-8.48305,0.0584635
0.126115,0.0396259,-8.48965,0.0584464
0.124476,0.0382133,-8.49603,0.0584353
0.122839,0.0368044,-8.50218,0.0584058
0.121202,0.0353991,-8.50811,0.0583755
0.119566,0.0339975,-8.5138,0.0583386
0.117931,0.0325996,-8.51928,0.0582943
0.116297,0.0312055,-8.52452,0.0582549
0.114665,0.0298153,-8.52955,0.0582009
0.113035,0.0284288,-8.53434,0.0581377
0.111406,0.0270463,-8.53892,0.0580831
0.10978,0.0256678,-8.54327,0.0580154
0.108155,0.0242932,-8.54741,0.0579409
0.106532,0.0229226,-8.55132,0.0578635
0.104912,0.0215561,-8.55501,0.0577815
0.103294,0.0201936,-8.55847,0.0576978
0.101678,0.0188353,-8.56172,0.0576122
0.100066,0.017481,-8.56476,0.0575132
0.0984554,0.016131,-8.56757,0.0574212
0.096848,0.0147851,-8.57017,0.0573223
0.0952438,0.0134435,-8.57255,0.0572065
0.0936422,0.012106,-8.57471,0.0571157
0.092044,0.0107729,-8.57666,0.056993
0.0904489,0.00944401,-8.57839,0.0568831
0.0888568,0.00811942,-8.57991,0.0567744
0.0872684,0.00679915,-8.58122,0.0566437
0.0856833,0.00548322,-8.58231,0.0565273
0.084102,0.00417164,-8.5832,0.0563927
0.082524,0.00286442,-8.58387,0.0562727
0.0809496,0.00156157,-8.58433,0.0561442
