x0,x1,x2,u
0.2,0.2,-5,0
0.2,0.2,-5.03198,0
0.207214,0.200205,-5.06396,-0.2518
0.216701,0.200365,-5.09597,-0.326218
0.226458,0.200384,-5.12801,-0.334863
0.235862,0.20024,-5.16005,-0.323571
0.244751,0.19993,-5.19206,-0.306967
0.253092,0.19946,-5.22402,-0.289108
0.260887,0.198835,-5.25589,-0.271129
0.268148,0.198061,-5.28765,-0.253372
0.27489,0.197147,-5.31927,-0.235941
0.281128,0.196097,-5.35073,-0.218884
0.286877,0.194919,-5.38201,-0.202237
0.292155,0.193618,-5.41308,-0.186013
0.296975,0.192201,-5.44392,-0.170224
0.301353,0.190673,-5.47453,-0.15489
0.305305,0.189041,-5.50487,-0.140016
0.308846,0.187309,-5.53493,-0.125599
0.31199,0.185483,-5.56471,-0.111657
0.314752,0.183568,-5.59417,-0.0981827
0.317147,0.18157,-5.62332,-0.0851889
0.319188,0.179493,-5.65213,-0.072659
0.320889,0.177342,-5.6806,-0.0606046
0.322265,0.175121,-5.70871,-0.0490093
0.323327,0.172836,-5.73646,-0.037869
0.32409,0.17049,-5.76384,-0.0271835
0.324565,0.168087,-5.79083,-0.0169444
0.324765,0.165631,-5.81743,-0.00713301
0.324702,0.163127,-5.84363,0.00225592
0.324387,0.160577,-5.86943,0.011219
0.323832,0.157986,-5.89482,0.0197806
0.323048,0.155357,-5.91979,0.0279565
0.322046,0.152693,-5.94434,0.035738
0.320835,0.149997,-5.96846,0.0431547
0.319426,0.147273,-5.99215,0.0502052
0.317828,0.144523,-6.01541,0.0569105
0.316051,0.14175,-6.03823,0.0632687
0.314105,0.138957,-6.06061,0.0693073
0.311997,0.136146,-6.08255,0.0750256
0.309737,0.133319,-6.10404,0.0804367
0.307332,0.13048,-6.12509,0.0855494
0.30479,0.127631,-6.14569,0.0903826
0.30212,0.124773,-6.16584,0.0949326
0.299329,0.121908,-6.18554,0.0992241
0.296423,0.11904,-6.20479,0.103251
0.29341,0.116168,-6.22359,0.107036
0.290296,0.113297,-6.24193,0.110587
0.287088,0.110426,-6.25983,0.113905
0.283792,0.107558,-6.27727,0.117002
0.280414,0.104695,-6.29426,0.119886
0.27696,0.101837,-6.31081,0.122566
0.273435,0.098987,-6.3269,0.125056
0.269844,0.0961453,-6.34255,0.127349
0.266193,0.0933136,-6.35775,0.129462
