psi_1,psi_2,y2
0.2,0.2,-5
0.199998,0.199998,-4.99994
0.19999,0.19999,-4.99976
0.199978,0.199978,-4.99946
0.199962,0.199962,-4.99905
0.19994,0.19994,-4.99851
0.199914,0.199914,-4.99786
0.199884,0.199884,-4.99709
0.199848,0.199848,-4.9962
0.199808,0.199808,-4.9952
0.199763,0.199763,-4.99408
0.199714,0.199714,-4.99285
0.19966,0.19966,-4.9915
0.199601,0.199601,-4.99004
0.199538,0.199538,-4.98846
0.199471,0.199471,-4.98677
0.199399,0.199399,-4.98497
0.199322,0.199322,-4.98305
0.199241,0.199241,-4.98103
0.199156,0.199156,-4.97889
0.199066,0.199066,-4.97664
0.198971,0.198971,-4.97428
0.198872,0.198872,-4.97181
0.198769,0.198769,-4.96923
0.198662,0.198662,-4.96655
0.19855,0.19855,-4.96375
0.198434,0.198434,-4.96085
0.198313,0.198313,-4.95783
0.198189,0.198189,-4.95472
0.19806,0.19806,-4.95149
0.197926,0.197926,-4.94816
0.197789,0.197789,-4.94472
0.197647,0.197647,-4.94118
0.197501,0.197501,-4.93753
0.197351,0.197351,-4.93378
0.197197,0.197197,-4.92993
0.197039,0.197039,-4.92597
0.196876,0.196876,-4.92191
0.19671,0.19671,-4.91775
0.196539,0.196539,-4.91349
0.196365,0.196365,-4.90912
0.196186,0.196186,-4.90465
0.196003,0.196003,-4.90009
0.195817,0.195817,-4.89542
0.195626,0.195626,-4.89065
0.195432,0.195432,-4.88579
0.195233,0.195233,-4.88083
0.195031,0.195031,-4.87577
0.194824,0.194824,-4.87061
0.194614,0.194614,-4.86535
0.1944,0.1944,-4.86
0.194182,0.194182,-4.85455
0.19396,0.19396,-4.84901
0.193735,0.193735,-4.84337
0.193505,0.193505,-4.83764
0.193272,0.193272,-4.83181
0.193036,0.193036,-4.82589
0.192795,0.192795,-4.81988
0.192551,0.192551,-4.81377
0.192303,0.192303,-4.80757
0.192051,0.192051,-4.80128
0.191796,0.191796,-4.7949
0.191537,0.191537,-4.78843
0.191275,0.191275,-4.78186
0.191008,0.191008,-4.77521
0.190739,0.190739,-4.76847
0.190466,0.190466,-4.76164
0.190189,0.190189,-4.75472
0.189909,0.189909,-4.74771
0.189625,0.189625,-4.74062
0.189338,0.189338,-4.73344
0.189047,0.189047,-4.72617
0.188753,0.188753,-4.71882
0.188455,0.188455,-4.71138
0.188154,0.188154,-4.70386
0.18785,0.18785,-4.69625
0.187542,0.187542,-4.68856
0.187231,0.187231,-4.68078
0.186917,0.186917,-4.67292
0.186599,0.186599,-4.66498
0.186278,0.186278,-4.65696
0.185954,0.185954,-4.64886
0.185627,0.185627,-4.64067
0.185296,0.185296,-4.6324
0.184962,0.184962,-4.62406
0.184625,0.184625,-4.61563
0.184285,0.184285,-4.60712
0.183942,0.183942,-4.59854
0.183595,0.183595,-4.58988
0.183246,0.183246,-4.58114
0.182893,0.182893,-4.57232
0.182537,0.182537,-4.56343
0.182178,0.182178,-4.55445
0.181816,0.181816,-4.54541
0.181451,0.181451,-4.53629
0.181084,0.181084,-4.52709
0.180713,0.180713,-4.51782
0.180339,0.180339,-4.50847
0.179962,0.179962,-4.49906
0.179583,0.179583,-4.48956
0.1792,0.1792,-4.48
0.178815,0.178815,-4.47036
0.178426,0.178426,-4.46066
0.178035,0.178035,-4.45088
0.177641,0.177641,-4.44103
0.177244,0.177244,-4.43111
0.176845,0.176845,-4.42112
0.176443,0.176443,-4.41106
0.176037,0.176037,-4.40094
0.17563,0.17563,-4.39074
0.175219,0.175219,-4.38048
0.174806,0.174806,-4.37015
0.17439,0.17439,-4.35975
0.173972,0.173972,-4.34929
0.173551,0.173551,-4.33876
0.173127,0.173127,-4.32817
0.1727,0.1727,-4.31751
0.172272,0.172272,-4.30679
0.17184,0.17184,-4.296
0.171406,0.171406,-4.28515
0.17097,0.17097,-4.27424
0.170531,0.170531,-4.26326
0.170089,0.170089,-4.25223
0.169645,0.169645,-4.24113
0.169199,0.169199,-4.22997
0.16875,0.16875,-4.21875
0.168299,0.168299,-4.20747
0.167845,0.167845,-4.19613
0.167389,0.167389,-4.18473
0.166931,0.166931,-4.17327
0.16647,0.16647,-4.16176
0.166008,0.166008,-4.15019
0.165542,0.165542,-4.13856
0.165075,0.165075,-4.12687
0.164605,0.164605,-4.11513
0.164133,0.164133,-4.10333
0.163659,0.163659,-4.09148
0.163183,0.163183,-4.07957
